"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2022"

"Vuosi";"Alue";"Ikä";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2022";"KOKO MAA";"Yhteensä";28811
"2022";"KOKO MAA";"0 vuotta";63
"2022";"KOKO MAA";"1 vuotta";2026
"2022";"KOKO MAA";"2 vuotta";3953
"2022";"KOKO MAA";"3 vuotta";5089
"2022";"KOKO MAA";"4 vuotta";5801
"2022";"KOKO MAA";"5 vuotta";5951
"2022";"KOKO MAA";"6 vuotta";5679
"2022";"KOKO MAA";"7 vuotta ja yli";249
"2022";"Akaa";"Yhteensä";23
"2022";"Akaa";"0 vuotta";0
"2022";"Akaa";"1 vuotta";0
"2022";"Akaa";"2 vuotta";1
"2022";"Akaa";"3 vuotta";7
"2022";"Akaa";"4 vuotta";7
"2022";"Akaa";"5 vuotta";8
"2022";"Akaa";"6 vuotta";0
"2022";"Akaa";"7 vuotta ja yli";0
"2022";"Alajärvi";"Yhteensä";12
"2022";"Alajärvi";"0 vuotta";0
"2022";"Alajärvi";"1 vuotta";1
"2022";"Alajärvi";"2 vuotta";1
"2022";"Alajärvi";"3 vuotta";2
"2022";"Alajärvi";"4 vuotta";2
"2022";"Alajärvi";"5 vuotta";6
"2022";"Alajärvi";"6 vuotta";0
"2022";"Alajärvi";"7 vuotta ja yli";0
"2022";"Alavieska";"Yhteensä";5
"2022";"Alavieska";"0 vuotta";0
"2022";"Alavieska";"1 vuotta";0
"2022";"Alavieska";"2 vuotta";2
"2022";"Alavieska";"3 vuotta";0
"2022";"Alavieska";"4 vuotta";2
"2022";"Alavieska";"5 vuotta";1
"2022";"Alavieska";"6 vuotta";0
"2022";"Alavieska";"7 vuotta ja yli";0
"2022";"Alavus";"Yhteensä";21
"2022";"Alavus";"0 vuotta";0
"2022";"Alavus";"1 vuotta";0
"2022";"Alavus";"2 vuotta";2
"2022";"Alavus";"3 vuotta";3
"2022";"Alavus";"4 vuotta";5
"2022";"Alavus";"5 vuotta";5
"2022";"Alavus";"6 vuotta";5
"2022";"Alavus";"7 vuotta ja yli";1
"2022";"Asikkala";"Yhteensä";9
"2022";"Asikkala";"0 vuotta";0
"2022";"Asikkala";"1 vuotta";1
"2022";"Asikkala";"2 vuotta";0
"2022";"Asikkala";"3 vuotta";2
"2022";"Asikkala";"4 vuotta";1
"2022";"Asikkala";"5 vuotta";2
"2022";"Asikkala";"6 vuotta";3
"2022";"Asikkala";"7 vuotta ja yli";0
"2022";"Askola";"Yhteensä";3
"2022";"Askola";"0 vuotta";0
"2022";"Askola";"1 vuotta";0
"2022";"Askola";"2 vuotta";1
"2022";"Askola";"3 vuotta";0
"2022";"Askola";"4 vuotta";0
"2022";"Askola";"5 vuotta";1
"2022";"Askola";"6 vuotta";1
"2022";"Askola";"7 vuotta ja yli";0
"2022";"Aura";"Yhteensä";2
"2022";"Aura";"0 vuotta";0
"2022";"Aura";"1 vuotta";0
"2022";"Aura";"2 vuotta";1
"2022";"Aura";"3 vuotta";0
"2022";"Aura";"4 vuotta";1
"2022";"Aura";"5 vuotta";0
"2022";"Aura";"6 vuotta";0
"2022";"Aura";"7 vuotta ja yli";0
"2022";"Brändö";"Yhteensä";0
"2022";"Brändö";"0 vuotta";0
"2022";"Brändö";"1 vuotta";0
"2022";"Brändö";"2 vuotta";0
"2022";"Brändö";"3 vuotta";0
"2022";"Brändö";"4 vuotta";0
"2022";"Brändö";"5 vuotta";0
"2022";"Brändö";"6 vuotta";0
"2022";"Brändö";"7 vuotta ja yli";0
"2022";"Eckerö";"Yhteensä";0
"2022";"Eckerö";"0 vuotta";0
"2022";"Eckerö";"1 vuotta";0
"2022";"Eckerö";"2 vuotta";0
"2022";"Eckerö";"3 vuotta";0
"2022";"Eckerö";"4 vuotta";0
"2022";"Eckerö";"5 vuotta";0
"2022";"Eckerö";"6 vuotta";0
"2022";"Eckerö";"7 vuotta ja yli";0
"2022";"Enonkoski";"Yhteensä";3
"2022";"Enonkoski";"0 vuotta";0
"2022";"Enonkoski";"1 vuotta";0
"2022";"Enonkoski";"2 vuotta";1
"2022";"Enonkoski";"3 vuotta";1
"2022";"Enonkoski";"4 vuotta";0
"2022";"Enonkoski";"5 vuotta";0
"2022";"Enonkoski";"6 vuotta";1
"2022";"Enonkoski";"7 vuotta ja yli";0
"2022";"Enontekiö";"Yhteensä";6
"2022";"Enontekiö";"0 vuotta";0
"2022";"Enontekiö";"1 vuotta";1
"2022";"Enontekiö";"2 vuotta";1
"2022";"Enontekiö";"3 vuotta";0
"2022";"Enontekiö";"4 vuotta";2
"2022";"Enontekiö";"5 vuotta";1
"2022";"Enontekiö";"6 vuotta";1
"2022";"Enontekiö";"7 vuotta ja yli";0
"2022";"Espoo";"Yhteensä";4408
"2022";"Espoo";"0 vuotta";7
"2022";"Espoo";"1 vuotta";304
"2022";"Espoo";"2 vuotta";568
"2022";"Espoo";"3 vuotta";817
"2022";"Espoo";"4 vuotta";895
"2022";"Espoo";"5 vuotta";881
"2022";"Espoo";"6 vuotta";926
"2022";"Espoo";"7 vuotta ja yli";10
"2022";"Eura";"Yhteensä";25
"2022";"Eura";"0 vuotta";0
"2022";"Eura";"1 vuotta";2
"2022";"Eura";"2 vuotta";2
"2022";"Eura";"3 vuotta";1
"2022";"Eura";"4 vuotta";5
"2022";"Eura";"5 vuotta";8
"2022";"Eura";"6 vuotta";6
"2022";"Eura";"7 vuotta ja yli";1
"2022";"Eurajoki";"Yhteensä";7
"2022";"Eurajoki";"0 vuotta";0
"2022";"Eurajoki";"1 vuotta";0
"2022";"Eurajoki";"2 vuotta";0
"2022";"Eurajoki";"3 vuotta";4
"2022";"Eurajoki";"4 vuotta";1
"2022";"Eurajoki";"5 vuotta";1
"2022";"Eurajoki";"6 vuotta";1
"2022";"Eurajoki";"7 vuotta ja yli";0
"2022";"Evijärvi";"Yhteensä";2
"2022";"Evijärvi";"0 vuotta";0
"2022";"Evijärvi";"1 vuotta";0
"2022";"Evijärvi";"2 vuotta";0
"2022";"Evijärvi";"3 vuotta";0
"2022";"Evijärvi";"4 vuotta";0
"2022";"Evijärvi";"5 vuotta";2
"2022";"Evijärvi";"6 vuotta";0
"2022";"Evijärvi";"7 vuotta ja yli";0
"2022";"Finström";"Yhteensä";0
"2022";"Finström";"0 vuotta";0
"2022";"Finström";"1 vuotta";0
"2022";"Finström";"2 vuotta";0
"2022";"Finström";"3 vuotta";0
"2022";"Finström";"4 vuotta";0
"2022";"Finström";"5 vuotta";0
"2022";"Finström";"6 vuotta";0
"2022";"Finström";"7 vuotta ja yli";0
"2022";"Forssa";"Yhteensä";53
"2022";"Forssa";"0 vuotta";0
"2022";"Forssa";"1 vuotta";1
"2022";"Forssa";"2 vuotta";7
"2022";"Forssa";"3 vuotta";11
"2022";"Forssa";"4 vuotta";11
"2022";"Forssa";"5 vuotta";13
"2022";"Forssa";"6 vuotta";10
"2022";"Forssa";"7 vuotta ja yli";0
"2022";"Föglö";"Yhteensä";0
"2022";"Föglö";"0 vuotta";0
"2022";"Föglö";"1 vuotta";0
"2022";"Föglö";"2 vuotta";0
"2022";"Föglö";"3 vuotta";0
"2022";"Föglö";"4 vuotta";0
"2022";"Föglö";"5 vuotta";0
"2022";"Föglö";"6 vuotta";0
"2022";"Föglö";"7 vuotta ja yli";0
"2022";"Geta";"Yhteensä";0
"2022";"Geta";"0 vuotta";0
"2022";"Geta";"1 vuotta";0
"2022";"Geta";"2 vuotta";0
"2022";"Geta";"3 vuotta";0
"2022";"Geta";"4 vuotta";0
"2022";"Geta";"5 vuotta";0
"2022";"Geta";"6 vuotta";0
"2022";"Geta";"7 vuotta ja yli";0
"2022";"Haapajärvi";"Yhteensä";4
"2022";"Haapajärvi";"0 vuotta";0
"2022";"Haapajärvi";"1 vuotta";0
"2022";"Haapajärvi";"2 vuotta";1
"2022";"Haapajärvi";"3 vuotta";1
"2022";"Haapajärvi";"4 vuotta";0
"2022";"Haapajärvi";"5 vuotta";2
"2022";"Haapajärvi";"6 vuotta";0
"2022";"Haapajärvi";"7 vuotta ja yli";0
"2022";"Haapavesi";"Yhteensä";6
"2022";"Haapavesi";"0 vuotta";0
"2022";"Haapavesi";"1 vuotta";0
"2022";"Haapavesi";"2 vuotta";0
"2022";"Haapavesi";"3 vuotta";0
"2022";"Haapavesi";"4 vuotta";1
"2022";"Haapavesi";"5 vuotta";3
"2022";"Haapavesi";"6 vuotta";2
"2022";"Haapavesi";"7 vuotta ja yli";0
"2022";"Hailuoto";"Yhteensä";0
"2022";"Hailuoto";"0 vuotta";0
"2022";"Hailuoto";"1 vuotta";0
"2022";"Hailuoto";"2 vuotta";0
"2022";"Hailuoto";"3 vuotta";0
"2022";"Hailuoto";"4 vuotta";0
"2022";"Hailuoto";"5 vuotta";0
"2022";"Hailuoto";"6 vuotta";0
"2022";"Hailuoto";"7 vuotta ja yli";0
"2022";"Halsua";"Yhteensä";2
"2022";"Halsua";"0 vuotta";0
"2022";"Halsua";"1 vuotta";0
"2022";"Halsua";"2 vuotta";1
"2022";"Halsua";"3 vuotta";0
"2022";"Halsua";"4 vuotta";1
"2022";"Halsua";"5 vuotta";0
"2022";"Halsua";"6 vuotta";0
"2022";"Halsua";"7 vuotta ja yli";0
"2022";"Hamina";"Yhteensä";44
"2022";"Hamina";"0 vuotta";0
"2022";"Hamina";"1 vuotta";5
"2022";"Hamina";"2 vuotta";6
"2022";"Hamina";"3 vuotta";4
"2022";"Hamina";"4 vuotta";12
"2022";"Hamina";"5 vuotta";9
"2022";"Hamina";"6 vuotta";7
"2022";"Hamina";"7 vuotta ja yli";1
"2022";"Hammarland";"Yhteensä";0
"2022";"Hammarland";"0 vuotta";0
"2022";"Hammarland";"1 vuotta";0
"2022";"Hammarland";"2 vuotta";0
"2022";"Hammarland";"3 vuotta";0
"2022";"Hammarland";"4 vuotta";0
"2022";"Hammarland";"5 vuotta";0
"2022";"Hammarland";"6 vuotta";0
"2022";"Hammarland";"7 vuotta ja yli";0
"2022";"Hankasalmi";"Yhteensä";0
"2022";"Hankasalmi";"0 vuotta";0
"2022";"Hankasalmi";"1 vuotta";0
"2022";"Hankasalmi";"2 vuotta";0
"2022";"Hankasalmi";"3 vuotta";0
"2022";"Hankasalmi";"4 vuotta";0
"2022";"Hankasalmi";"5 vuotta";0
"2022";"Hankasalmi";"6 vuotta";0
"2022";"Hankasalmi";"7 vuotta ja yli";0
"2022";"Hanko";"Yhteensä";12
"2022";"Hanko";"0 vuotta";0
"2022";"Hanko";"1 vuotta";1
"2022";"Hanko";"2 vuotta";0
"2022";"Hanko";"3 vuotta";0
"2022";"Hanko";"4 vuotta";1
"2022";"Hanko";"5 vuotta";3
"2022";"Hanko";"6 vuotta";5
"2022";"Hanko";"7 vuotta ja yli";2
"2022";"Harjavalta";"Yhteensä";8
"2022";"Harjavalta";"0 vuotta";0
"2022";"Harjavalta";"1 vuotta";0
"2022";"Harjavalta";"2 vuotta";1
"2022";"Harjavalta";"3 vuotta";1
"2022";"Harjavalta";"4 vuotta";1
"2022";"Harjavalta";"5 vuotta";5
"2022";"Harjavalta";"6 vuotta";0
"2022";"Harjavalta";"7 vuotta ja yli";0
"2022";"Hartola";"Yhteensä";1
"2022";"Hartola";"0 vuotta";0
"2022";"Hartola";"1 vuotta";0
"2022";"Hartola";"2 vuotta";0
"2022";"Hartola";"3 vuotta";0
"2022";"Hartola";"4 vuotta";1
"2022";"Hartola";"5 vuotta";0
"2022";"Hartola";"6 vuotta";0
"2022";"Hartola";"7 vuotta ja yli";0
"2022";"Hattula";"Yhteensä";12
"2022";"Hattula";"0 vuotta";0
"2022";"Hattula";"1 vuotta";2
"2022";"Hattula";"2 vuotta";1
"2022";"Hattula";"3 vuotta";1
"2022";"Hattula";"4 vuotta";3
"2022";"Hattula";"5 vuotta";1
"2022";"Hattula";"6 vuotta";4
"2022";"Hattula";"7 vuotta ja yli";0
"2022";"Hausjärvi";"Yhteensä";11
"2022";"Hausjärvi";"0 vuotta";0
"2022";"Hausjärvi";"1 vuotta";3
"2022";"Hausjärvi";"2 vuotta";1
"2022";"Hausjärvi";"3 vuotta";0
"2022";"Hausjärvi";"4 vuotta";3
"2022";"Hausjärvi";"5 vuotta";1
"2022";"Hausjärvi";"6 vuotta";3
"2022";"Hausjärvi";"7 vuotta ja yli";0
"2022";"Heinola";"Yhteensä";28
"2022";"Heinola";"0 vuotta";0
"2022";"Heinola";"1 vuotta";1
"2022";"Heinola";"2 vuotta";2
"2022";"Heinola";"3 vuotta";6
"2022";"Heinola";"4 vuotta";4
"2022";"Heinola";"5 vuotta";8
"2022";"Heinola";"6 vuotta";7
"2022";"Heinola";"7 vuotta ja yli";0
"2022";"Heinävesi";"Yhteensä";9
"2022";"Heinävesi";"0 vuotta";0
"2022";"Heinävesi";"1 vuotta";1
"2022";"Heinävesi";"2 vuotta";0
"2022";"Heinävesi";"3 vuotta";1
"2022";"Heinävesi";"4 vuotta";1
"2022";"Heinävesi";"5 vuotta";3
"2022";"Heinävesi";"6 vuotta";2
"2022";"Heinävesi";"7 vuotta ja yli";1
"2022";"Helsinki";"Yhteensä";6948
"2022";"Helsinki";"0 vuotta";9
"2022";"Helsinki";"1 vuotta";404
"2022";"Helsinki";"2 vuotta";925
"2022";"Helsinki";"3 vuotta";1230
"2022";"Helsinki";"4 vuotta";1385
"2022";"Helsinki";"5 vuotta";1440
"2022";"Helsinki";"6 vuotta";1454
"2022";"Helsinki";"7 vuotta ja yli";101
"2022";"Hirvensalmi";"Yhteensä";1
"2022";"Hirvensalmi";"0 vuotta";0
"2022";"Hirvensalmi";"1 vuotta";0
"2022";"Hirvensalmi";"2 vuotta";0
"2022";"Hirvensalmi";"3 vuotta";0
"2022";"Hirvensalmi";"4 vuotta";1
"2022";"Hirvensalmi";"5 vuotta";0
"2022";"Hirvensalmi";"6 vuotta";0
"2022";"Hirvensalmi";"7 vuotta ja yli";0
"2022";"Hollola";"Yhteensä";37
"2022";"Hollola";"0 vuotta";0
"2022";"Hollola";"1 vuotta";7
"2022";"Hollola";"2 vuotta";8
"2022";"Hollola";"3 vuotta";6
"2022";"Hollola";"4 vuotta";4
"2022";"Hollola";"5 vuotta";6
"2022";"Hollola";"6 vuotta";6
"2022";"Hollola";"7 vuotta ja yli";0
"2022";"Huittinen";"Yhteensä";35
"2022";"Huittinen";"0 vuotta";0
"2022";"Huittinen";"1 vuotta";2
"2022";"Huittinen";"2 vuotta";5
"2022";"Huittinen";"3 vuotta";7
"2022";"Huittinen";"4 vuotta";2
"2022";"Huittinen";"5 vuotta";7
"2022";"Huittinen";"6 vuotta";11
"2022";"Huittinen";"7 vuotta ja yli";1
"2022";"Humppila";"Yhteensä";1
"2022";"Humppila";"0 vuotta";0
"2022";"Humppila";"1 vuotta";0
"2022";"Humppila";"2 vuotta";0
"2022";"Humppila";"3 vuotta";1
"2022";"Humppila";"4 vuotta";0
"2022";"Humppila";"5 vuotta";0
"2022";"Humppila";"6 vuotta";0
"2022";"Humppila";"7 vuotta ja yli";0
"2022";"Hyrynsalmi";"Yhteensä";0
"2022";"Hyrynsalmi";"0 vuotta";0
"2022";"Hyrynsalmi";"1 vuotta";0
"2022";"Hyrynsalmi";"2 vuotta";0
"2022";"Hyrynsalmi";"3 vuotta";0
"2022";"Hyrynsalmi";"4 vuotta";0
"2022";"Hyrynsalmi";"5 vuotta";0
"2022";"Hyrynsalmi";"6 vuotta";0
"2022";"Hyrynsalmi";"7 vuotta ja yli";0
"2022";"Hyvinkää";"Yhteensä";216
"2022";"Hyvinkää";"0 vuotta";0
"2022";"Hyvinkää";"1 vuotta";22
"2022";"Hyvinkää";"2 vuotta";26
"2022";"Hyvinkää";"3 vuotta";41
"2022";"Hyvinkää";"4 vuotta";42
"2022";"Hyvinkää";"5 vuotta";43
"2022";"Hyvinkää";"6 vuotta";42
"2022";"Hyvinkää";"7 vuotta ja yli";0
"2022";"Hämeenkyrö";"Yhteensä";5
"2022";"Hämeenkyrö";"0 vuotta";0
"2022";"Hämeenkyrö";"1 vuotta";0
"2022";"Hämeenkyrö";"2 vuotta";0
"2022";"Hämeenkyrö";"3 vuotta";2
"2022";"Hämeenkyrö";"4 vuotta";0
"2022";"Hämeenkyrö";"5 vuotta";1
"2022";"Hämeenkyrö";"6 vuotta";2
"2022";"Hämeenkyrö";"7 vuotta ja yli";0
"2022";"Hämeenlinna";"Yhteensä";267
"2022";"Hämeenlinna";"0 vuotta";0
"2022";"Hämeenlinna";"1 vuotta";13
"2022";"Hämeenlinna";"2 vuotta";44
"2022";"Hämeenlinna";"3 vuotta";50
"2022";"Hämeenlinna";"4 vuotta";42
"2022";"Hämeenlinna";"5 vuotta";49
"2022";"Hämeenlinna";"6 vuotta";64
"2022";"Hämeenlinna";"7 vuotta ja yli";5
"2022";"Ii";"Yhteensä";0
"2022";"Ii";"0 vuotta";0
"2022";"Ii";"1 vuotta";0
"2022";"Ii";"2 vuotta";0
"2022";"Ii";"3 vuotta";0
"2022";"Ii";"4 vuotta";0
"2022";"Ii";"5 vuotta";0
"2022";"Ii";"6 vuotta";0
"2022";"Ii";"7 vuotta ja yli";0
"2022";"Iisalmi";"Yhteensä";41
"2022";"Iisalmi";"0 vuotta";0
"2022";"Iisalmi";"1 vuotta";5
"2022";"Iisalmi";"2 vuotta";4
"2022";"Iisalmi";"3 vuotta";6
"2022";"Iisalmi";"4 vuotta";4
"2022";"Iisalmi";"5 vuotta";12
"2022";"Iisalmi";"6 vuotta";9
"2022";"Iisalmi";"7 vuotta ja yli";1
"2022";"Iitti";"Yhteensä";2
"2022";"Iitti";"0 vuotta";0
"2022";"Iitti";"1 vuotta";0
"2022";"Iitti";"2 vuotta";0
"2022";"Iitti";"3 vuotta";0
"2022";"Iitti";"4 vuotta";0
"2022";"Iitti";"5 vuotta";0
"2022";"Iitti";"6 vuotta";2
"2022";"Iitti";"7 vuotta ja yli";0
"2022";"Ikaalinen";"Yhteensä";18
"2022";"Ikaalinen";"0 vuotta";0
"2022";"Ikaalinen";"1 vuotta";2
"2022";"Ikaalinen";"2 vuotta";3
"2022";"Ikaalinen";"3 vuotta";0
"2022";"Ikaalinen";"4 vuotta";3
"2022";"Ikaalinen";"5 vuotta";5
"2022";"Ikaalinen";"6 vuotta";4
"2022";"Ikaalinen";"7 vuotta ja yli";1
"2022";"Ilmajoki";"Yhteensä";15
"2022";"Ilmajoki";"0 vuotta";0
"2022";"Ilmajoki";"1 vuotta";1
"2022";"Ilmajoki";"2 vuotta";0
"2022";"Ilmajoki";"3 vuotta";2
"2022";"Ilmajoki";"4 vuotta";4
"2022";"Ilmajoki";"5 vuotta";2
"2022";"Ilmajoki";"6 vuotta";6
"2022";"Ilmajoki";"7 vuotta ja yli";0
"2022";"Ilomantsi";"Yhteensä";8
"2022";"Ilomantsi";"0 vuotta";0
"2022";"Ilomantsi";"1 vuotta";0
"2022";"Ilomantsi";"2 vuotta";1
"2022";"Ilomantsi";"3 vuotta";0
"2022";"Ilomantsi";"4 vuotta";4
"2022";"Ilomantsi";"5 vuotta";2
"2022";"Ilomantsi";"6 vuotta";1
"2022";"Ilomantsi";"7 vuotta ja yli";0
"2022";"Imatra";"Yhteensä";65
"2022";"Imatra";"0 vuotta";0
"2022";"Imatra";"1 vuotta";4
"2022";"Imatra";"2 vuotta";8
"2022";"Imatra";"3 vuotta";11
"2022";"Imatra";"4 vuotta";9
"2022";"Imatra";"5 vuotta";14
"2022";"Imatra";"6 vuotta";18
"2022";"Imatra";"7 vuotta ja yli";1
"2022";"Inari";"Yhteensä";19
"2022";"Inari";"0 vuotta";0
"2022";"Inari";"1 vuotta";2
"2022";"Inari";"2 vuotta";2
"2022";"Inari";"3 vuotta";5
"2022";"Inari";"4 vuotta";5
"2022";"Inari";"5 vuotta";4
"2022";"Inari";"6 vuotta";1
"2022";"Inari";"7 vuotta ja yli";0
"2022";"Inkoo";"Yhteensä";7
"2022";"Inkoo";"0 vuotta";0
"2022";"Inkoo";"1 vuotta";1
"2022";"Inkoo";"2 vuotta";3
"2022";"Inkoo";"3 vuotta";0
"2022";"Inkoo";"4 vuotta";2
"2022";"Inkoo";"5 vuotta";1
"2022";"Inkoo";"6 vuotta";0
"2022";"Inkoo";"7 vuotta ja yli";0
"2022";"Isojoki";"Yhteensä";3
"2022";"Isojoki";"0 vuotta";0
"2022";"Isojoki";"1 vuotta";1
"2022";"Isojoki";"2 vuotta";1
"2022";"Isojoki";"3 vuotta";1
"2022";"Isojoki";"4 vuotta";0
"2022";"Isojoki";"5 vuotta";0
"2022";"Isojoki";"6 vuotta";0
"2022";"Isojoki";"7 vuotta ja yli";0
"2022";"Isokyrö";"Yhteensä";2
"2022";"Isokyrö";"0 vuotta";0
"2022";"Isokyrö";"1 vuotta";0
"2022";"Isokyrö";"2 vuotta";0
"2022";"Isokyrö";"3 vuotta";1
"2022";"Isokyrö";"4 vuotta";0
"2022";"Isokyrö";"5 vuotta";0
"2022";"Isokyrö";"6 vuotta";1
"2022";"Isokyrö";"7 vuotta ja yli";0
"2022";"Janakkala";"Yhteensä";34
"2022";"Janakkala";"0 vuotta";0
"2022";"Janakkala";"1 vuotta";3
"2022";"Janakkala";"2 vuotta";4
"2022";"Janakkala";"3 vuotta";4
"2022";"Janakkala";"4 vuotta";8
"2022";"Janakkala";"5 vuotta";8
"2022";"Janakkala";"6 vuotta";6
"2022";"Janakkala";"7 vuotta ja yli";1
"2022";"Joensuu";"Yhteensä";235
"2022";"Joensuu";"0 vuotta";0
"2022";"Joensuu";"1 vuotta";10
"2022";"Joensuu";"2 vuotta";33
"2022";"Joensuu";"3 vuotta";47
"2022";"Joensuu";"4 vuotta";52
"2022";"Joensuu";"5 vuotta";48
"2022";"Joensuu";"6 vuotta";45
"2022";"Joensuu";"7 vuotta ja yli";0
"2022";"Jokioinen";"Yhteensä";5
"2022";"Jokioinen";"0 vuotta";0
"2022";"Jokioinen";"1 vuotta";2
"2022";"Jokioinen";"2 vuotta";0
"2022";"Jokioinen";"3 vuotta";0
"2022";"Jokioinen";"4 vuotta";3
"2022";"Jokioinen";"5 vuotta";0
"2022";"Jokioinen";"6 vuotta";0
"2022";"Jokioinen";"7 vuotta ja yli";0
"2022";"Jomala";"Yhteensä";0
"2022";"Jomala";"0 vuotta";0
"2022";"Jomala";"1 vuotta";0
"2022";"Jomala";"2 vuotta";0
"2022";"Jomala";"3 vuotta";0
"2022";"Jomala";"4 vuotta";0
"2022";"Jomala";"5 vuotta";0
"2022";"Jomala";"6 vuotta";0
"2022";"Jomala";"7 vuotta ja yli";0
"2022";"Joroinen";"Yhteensä";11
"2022";"Joroinen";"0 vuotta";0
"2022";"Joroinen";"1 vuotta";2
"2022";"Joroinen";"2 vuotta";0
"2022";"Joroinen";"3 vuotta";1
"2022";"Joroinen";"4 vuotta";3
"2022";"Joroinen";"5 vuotta";2
"2022";"Joroinen";"6 vuotta";3
"2022";"Joroinen";"7 vuotta ja yli";0
"2022";"Joutsa";"Yhteensä";0
"2022";"Joutsa";"0 vuotta";0
"2022";"Joutsa";"1 vuotta";0
"2022";"Joutsa";"2 vuotta";0
"2022";"Joutsa";"3 vuotta";0
"2022";"Joutsa";"4 vuotta";0
"2022";"Joutsa";"5 vuotta";0
"2022";"Joutsa";"6 vuotta";0
"2022";"Joutsa";"7 vuotta ja yli";0
"2022";"Juuka";"Yhteensä";3
"2022";"Juuka";"0 vuotta";0
"2022";"Juuka";"1 vuotta";1
"2022";"Juuka";"2 vuotta";1
"2022";"Juuka";"3 vuotta";1
"2022";"Juuka";"4 vuotta";0
"2022";"Juuka";"5 vuotta";0
"2022";"Juuka";"6 vuotta";0
"2022";"Juuka";"7 vuotta ja yli";0
"2022";"Juupajoki";"Yhteensä";0
"2022";"Juupajoki";"0 vuotta";0
"2022";"Juupajoki";"1 vuotta";0
"2022";"Juupajoki";"2 vuotta";0
"2022";"Juupajoki";"3 vuotta";0
"2022";"Juupajoki";"4 vuotta";0
"2022";"Juupajoki";"5 vuotta";0
"2022";"Juupajoki";"6 vuotta";0
"2022";"Juupajoki";"7 vuotta ja yli";0
"2022";"Juva";"Yhteensä";6
